ticker,name,close_first,close_last,close_mean,close_std,close_min,close_max,return_mean,return_std,return_min,return_max,volume_mean,date_min,date_max,date_count,total_return_pct,annualized_return_pct,annualized_volatility_pct,sharpe_ratio,category
NTPC.NS,NTPC,95.4464,322.95,196.3314,110.7763,59.9927,429.0549,0.001,0.0179,-0.1545,0.0914,17087356.8816,2020-01-01 00:00:00+05:30,2025-12-04 00:00:00+05:30,1470,238.35744459717705,25.2,28.415369080833702,0.8868440148819856,India
PLUG,Plug Power (hydrogen),3.24,2.2088,13.6511,13.3011,0.7,73.18,0.0016,0.0614,-0.4047,0.3511,39053886.8268,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,-31.827160493827165,40.32,97.46947829961952,0.4136679574302943,Global
POWERGRID.NS,Power Grid Corporation,77.5451,269.1,175.0001,85.8671,59.2814,348.7145,0.001,0.0176,-0.1235,0.0892,17009626.4932,2020-01-01 00:00:00+05:30,2025-12-04 00:00:00+05:30,1470,247.02386095317434,25.2,27.93913384484208,0.9019606742265649,India
RUN,Sunrun,14.185,17.925,26.7758,17.9616,5.665,96.5,0.0018,0.0568,-0.4004,0.3282,8999377.1577,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,26.365879450123366,45.36,90.16720468108126,0.5030653901319996,Global
SEDG,SolarEdge Technologies,101.81,31.73,171.8147,116.3353,10.465,368.33,0.0006,0.0515,-0.3344,0.2891,2210216.8544,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,-68.83410274039878,15.119999999999997,81.75371551189585,0.18494572271519466,Global
SJVN.NS,SJVN Limited,19.0753,75.38,55.381,40.4354,14.6336,150.6517,0.0012,0.0251,-0.1999,0.2,10460681.9218,2020-01-01 00:00:00+05:30,2025-12-04 00:00:00+05:30,1470,295.1707181538429,30.239999999999995,39.84501474463274,0.7589406151260975,India
SO,Southern Company,49.6701,87.445,64.8467,14.5922,34.5984,98.9063,0.0005,0.016,-0.1177,0.1877,4593413.9819,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,76.0515883801321,12.6,25.39921258622007,0.4960783708246107,Global
SOL,ReneSola,1.4,1.73,4.2593,3.8544,0.9,33.55,0.0016,0.0559,-0.2194,0.3742,899179.7846,2020-01-02 00:00:00-05:00,2025-12-04 00:00:00-05:00,1490,23.571428571428577,40.32,88.73849897310637,0.4543687403617186,Global
SUZLON.NS,Suzlon Energy,1.7446,50.85,24.8439,24.4889,1.6069,84.7,0.0029,0.0356,-0.113,0.2,71668953.6014,2020-01-01 00:00:00+05:30,2025-12-04 00:00:00+05:30,1470,2814.7082425770955,73.07999999999998,56.51324800433966,1.2931481127113444,India
TATAPOWER.NS,Tata Power,53.6077,384.45,236.7954,132.3288,25.4078,482.6594,0.0016,0.0236,-0.1247,0.1559,22563450.951,2020-01-01 00:00:00+05:30,2025-12-04 00:00:00+05:30,1470,617.1544386347483,40.32,37.4638385646746,1.076237821450003,India
