0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,report_date,source_url
7,Consumer Services,328751,920,50,0,0,0,0,0,0,0,0,329721,37578,105,6,0,0,0,0,0,0,0,0,37689,-948,0,0,0,0,0,0,0,0,0,0,-948,-108,0,0,0,0,0,0,0,0,0,0,-108,490,0,0,0,0,0,0,0,0,0,0,490,56,0,0,0,0,0,0,0,0,0,0,56,331118,920,50,0,0,0,0,0,0,0,0,332088,37691,105,6,0,0,0,0,0,0,0,0,37802,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
8,Diversified,4398,204,0,0,0,0,0,0,0,0,0,4602,503,23,0,0,0,0,0,0,0,0,0,526,-58,0,0,0,0,0,0,0,0,0,0,-58,-7,0,0,0,0,0,0,0,0,0,0,-7,-55,0,0,0,0,0,0,0,0,0,0,-55,-6,0,0,0,0,0,0,0,0,0,0,-6,4422,204,0,0,0,0,0,0,0,0,0,4626,503,23,0,0,0,0,0,0,0,0,0,526,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
9,Fast Moving Consumer Goods,396235,92,285,0,0,0,0,0,0,0,0,396612,45292,11,33,0,0,0,0,0,0,0,0,45336,-1150,0,0,0,0,0,0,0,0,0,0,-1150,-131,0,0,0,0,0,0,0,0,0,0,-131,53,0,0,0,0,0,0,0,0,0,0,53,6,0,0,0,0,0,0,0,0,0,0,6,406541,92,285,0,0,0,0,0,0,0,0,406918,46276,11,32,0,0,0,0,0,0,0,0,46319,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
10,Financial Services,2239585,17431,14376,0,0,0,0,0,0,495,0,2271887,255996,1992,1643,0,0,0,0,0,0,57,0,259688,-13471,-143,-140,0,0,0,0,0,0,-4,0,-13758,-1540,-16,-16,0,0,0,0,0,0,0,0,-1572,-9817,-499,-1701,0,0,0,0,0,0,-1,0,-12018,-1117,-57,-194,0,0,0,0,0,0,0,0,-1368,2165190,16927,12775,0,0,0,0,0,0,550,0,2195442,246460,1927,1454,0,0,0,0,0,0,63,0,249904,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
11,Forest Materials,2987,484,0,0,0,0,0,0,0,0,0,3471,341,55,0,0,0,0,0,0,0,0,0,396,-21,0,0,0,0,0,0,0,0,0,0,-21,-2,0,0,0,0,0,0,0,0,0,0,-2,-27,0,0,0,0,0,0,0,0,0,0,-27,-3,0,0,0,0,0,0,0,0,0,0,-3,2978,484,0,0,0,0,0,0,0,0,0,3462,339,55,0,0,0,0,0,0,0,0,0,394,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
12,Healthcare,494378,435,1300,0,0,0,0,0,0,0,0,496113,56510,50,149,0,0,0,0,0,0,0,0,56709,-2095,0,0,0,0,0,0,0,0,0,0,-2095,-239,0,0,0,0,0,0,0,0,0,0,-239,678,0,0,0,0,0,0,0,0,0,0,678,77,0,0,0,0,0,0,0,0,0,0,77,484373,435,1300,0,0,0,0,0,0,0,0,486108,55136,49,148,0,0,0,0,0,0,0,0,55333,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
13,Information Technology,516207,0,0,0,0,0,0,0,0,0,0,516207,59005,0,0,0,0,0,0,0,0,0,0,59005,-6380,0,0,0,0,0,0,0,0,0,0,-6380,-729,0,0,0,0,0,0,0,0,0,0,-729,-4905,0,0,0,0,0,0,0,0,0,0,-4905,-558,0,0,0,0,0,0,0,0,0,0,-558,515520,0,0,0,0,0,0,0,0,0,0,515520,58681,0,0,0,0,0,0,0,0,0,0,58681,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
14,"Media, Entertainment & Publication",12794,0,0,0,0,0,0,0,0,0,0,12794,1462,0,0,0,0,0,0,0,0,0,0,1462,-14,0,0,0,0,0,0,0,0,0,0,-14,-2,0,0,0,0,0,0,0,0,0,0,-2,179,0,0,0,0,0,0,0,0,0,0,179,20,0,0,0,0,0,0,0,0,0,0,20,12588,0,0,0,0,0,0,0,0,0,0,12588,1433,0,0,0,0,0,0,0,0,0,0,1433,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
15,Metals & Mining,202154,261,0,0,0,0,0,0,0,0,0,202415,23107,30,0,0,0,0,0,0,0,0,0,23137,606,0,0,0,0,0,0,0,0,0,0,606,69,0,0,0,0,0,0,0,0,0,0,69,-1266,0,0,0,0,0,0,0,0,0,0,-1266,-144,0,0,0,0,0,0,0,0,0,0,-144,199753,261,0,0,0,0,0,0,0,0,0,200014,22738,30,0,0,0,0,0,0,0,0,0,22768,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
16,"Oil, Gas & Consumable Fuels",492821,342,0,0,0,0,0,0,0,0,0,493163,56332,39,0,0,0,0,0,0,0,0,0,56371,-4091,0,0,0,0,0,0,0,0,0,0,-4091,-468,0,0,0,0,0,0,0,0,0,0,-468,-2017,-26,0,0,0,0,0,0,0,0,0,-2043,-230,-3,0,0,0,0,0,0,0,0,0,-233,483436,316,0,0,0,0,0,0,0,0,0,483752,55029,36,0,0,0,0,0,0,0,0,0,55065,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
17,Power,235558,3408,0,0,5871,0,0,0,0,0,0,244837,26926,390,0,0,671,0,0,0,0,0,0,27987,-2358,0,0,0,-1,0,0,0,0,0,0,-2359,-270,0,0,0,0,0,0,0,0,0,0,-270,-1708,25,0,0,76,0,0,0,0,0,0,-1607,-194,3,0,0,9,0,0,0,0,0,0,-182,227232,3431,0,0,6080,0,0,0,0,0,0,236743,25865,391,0,0,692,0,0,0,0,0,0,26948,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
18,Realty,132829,1073,860,0,23945,0,0,0,0,0,0,158707,15183,123,98,0,2737,0,0,0,0,0,0,18141,-1211,0,-40,0,-151,0,0,0,0,0,0,-1402,-138,0,-5,0,-17,0,0,0,0,0,0,-160,-34,545,0,0,209,0,0,0,0,0,0,720,-4,62,0,0,24,0,0,0,0,0,0,82,131705,1621,860,0,24000,0,0,0,0,0,0,158186,14992,185,98,0,2732,0,0,0,0,0,0,18007,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
19,Services,170644,5944,2874,0,3392,0,0,0,0,0,0,182854,19505,679,328,0,388,0,0,0,0,0,0,20900,384,2090,410,0,-4,0,0,0,0,0,0,2880,44,239,47,0,0,0,0,0,0,0,0,330,1967,-100,0,0,0,0,0,0,0,0,0,1867,224,-11,0,0,0,0,0,0,0,0,0,213,168570,3698,1760,0,3459,0,0,0,0,0,0,177487,19188,421,200,0,394,0,0,0,0,0,0,20203,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
20,Telecommunication,346934,121,7900,0,11895,0,0,0,0,0,0,366850,39656,14,903,0,1360,0,0,0,0,0,0,41933,7446,0,0,0,0,0,0,0,0,0,0,7446,851,0,0,0,0,0,0,0,0,0,0,851,-1680,0,0,0,0,0,0,0,0,0,0,-1680,-191,0,0,0,0,0,0,0,0,0,0,-191,347806,121,7900,0,12177,0,0,0,0,0,0,368004,39590,14,899,0,1386,0,0,0,0,0,0,41889,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
21,Textiles,22536,460,0,0,0,0,0,0,0,0,0,22996,2576,53,0,0,0,0,0,0,0,0,0,2629,-228,0,0,0,0,0,0,0,0,0,0,-228,-26,0,0,0,0,0,0,0,0,0,0,-26,-422,0,0,0,0,0,0,0,0,0,0,-422,-48,0,0,0,0,0,0,0,0,0,0,-48,22342,460,0,0,0,0,0,0,0,0,0,22802,2543,52,0,0,0,0,0,0,0,0,0,2595,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
22,Utilities,2432,78,0,0,0,0,0,0,0,0,0,2510,278,9,0,0,0,0,0,0,0,0,0,287,-24,0,0,0,0,0,0,0,0,0,0,-24,-3,0,0,0,0,0,0,0,0,0,0,-3,15,-6,0,0,0,0,0,0,0,0,0,9,2,-1,0,0,0,0,0,0,0,0,0,1,2284,72,0,0,0,0,0,0,0,0,0,2356,260,8,0,0,0,0,0,0,0,0,0,268,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
23,Sovereign,0,56866,1419,259497,0,0,0,0,0,0,0,317782,0,6500,162,29662,0,0,0,0,0,0,0,36324,0,2116,-40,3127,0,0,0,0,0,0,0,5203,0,242,-5,357,0,0,0,0,0,0,0,594,0,1344,52,3640,0,0,0,0,0,0,0,5036,0,153,6,414,0,0,0,0,0,0,0,573,0,58324,1472,263455,0,0,0,0,0,0,0,323251,0,6639,168,29989,0,0,0,0,0,0,0,36796,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
24,Others,51129,91723,138176,0,9605,8842,1973,174,0,2338,25,303985,5844,10484,15794,0,1098,1011,226,20,0,267,3,34747,-26,419,43,0,0,1678,74,-1,0,-153,0,2034,-3,48,5,0,0,192,8,0,0,-18,0,232,60,1020,545,0,0,128,-108,24,-1,40,0,1708,7,116,62,0,0,15,-12,3,0,5,0,196,47620,93346,138610,0,9655,8877,1863,198,0,2196,25,302390,5421,10625,15778,0,1099,1010,212,23,0,250,3,34421,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
,Grand Total,7108732,181815,168170,259497,54802,8842,1973,174,0,2833,25,7786863,812564,20782,19223,29662,6264,1011,226,20,0,324,3,890079,-20975,4469,232,3127,-156,1678,74,-1,0,-157,0,-11709,-2398,511,27,357,-18,192,8,0,0,-18,0,-1339,-14019,2298,-1105,3640,308,128,-108,24,-1,39,0,-8796,-1596,262,-126,414,35,15,-12,3,0,4,0,-1001,7032675,182700,165941,263455,55484,8877,1863,198,0,2745,25,7713963,800519,20796,18889,29989,6316,1010,212,23,0,313,3,878070,2025-AUG-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_AUG312025.html
