0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,report_date,source_url
,,"AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","AUC as on October 15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 01-15, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","Net Investment October 16-31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025","AUC as on October 31, 2025",2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
,,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN INR Cr.,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,IN USD Mn,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
,,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,Equity,Debt,Debt,Debt,Hybrid,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Mutual Funds,Alternative Investment Funds (AIFs),,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
Sr. No.,Sectors,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,Equity,Debt General Limit,Debt VRR,Debt-FAR,Hybrid,Equity,Debt General Limit,Hybrid,Solution oriented,Other,AIF,Total,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
1,Automobile and Auto Components,558431,477,220,0,0,0,0,0,0,0,0,559128,63250,54,25,0,0,0,0,0,0,0,0,63329,1560,0,0,0,0,0,0,0,0,0,0,1560,177,0,0,0,0,0,0,0,0,0,0,177,-593,0,0,0,0,0,0,0,0,0,0,-593,-67,0,0,0,0,0,0,0,0,0,0,-67,560155,477,220,0,0,0,0,0,0,0,0,560852,63134,54,25,0,0,0,0,0,0,0,0,63213,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
2,Capital Goods,392533,540,35,0,0,0,0,0,0,0,0,393108,44460,61,4,0,0,0,0,0,0,0,0,44525,-851,-23,-1,0,0,0,0,0,0,0,0,-875,-96,-3,0,0,0,0,0,0,0,0,0,-99,169,0,0,0,0,0,0,0,0,0,0,169,19,0,0,0,0,0,0,0,0,0,0,19,399524,534,35,0,0,0,0,0,0,0,0,400093,45030,60,4,0,0,0,0,0,0,0,0,45094,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
3,Chemicals,131870,0,523,0,0,0,0,0,0,0,0,132393,14936,0,59,0,0,0,0,0,0,0,0,14995,-316,0,0,0,0,0,0,0,0,0,0,-316,-36,0,0,0,0,0,0,0,0,0,0,-36,-608,0,0,0,0,0,0,0,0,0,0,-608,-69,0,0,0,0,0,0,0,0,0,0,-69,131375,0,523,0,0,0,0,0,0,0,0,131898,14807,0,59,0,0,0,0,0,0,0,0,14866,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
4,Construction,130256,95,150,0,108,0,0,0,0,0,0,130609,14753,11,17,0,12,0,0,0,0,0,0,14793,641,0,0,0,-1,0,0,0,0,0,0,640,73,0,0,0,0,0,0,0,0,0,0,73,1592,-1,0,0,-2,0,0,0,0,0,0,1589,179,0,0,0,0,0,0,0,0,0,0,179,137361,92,150,0,108,0,0,0,0,0,0,137711,15482,10,17,0,12,0,0,0,0,0,0,15521,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
5,Construction Materials,124485,1250,0,0,0,0,0,0,0,0,0,125735,14100,142,0,0,0,0,0,0,0,0,0,14242,-94,0,0,0,0,0,0,0,0,0,0,-94,-11,0,0,0,0,0,0,0,0,0,0,-11,-1198,18,0,0,0,0,0,0,0,0,0,-1180,-135,2,0,0,0,0,0,0,0,0,0,-133,121354,1268,0,0,0,0,0,0,0,0,0,122622,13678,143,0,0,0,0,0,0,0,0,0,13821,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
6,Consumer Durables,184823,0,0,0,0,0,0,0,0,0,0,184823,20934,0,0,0,0,0,0,0,0,0,0,20934,-213,0,0,0,0,0,0,0,0,0,0,-213,-24,0,0,0,0,0,0,0,0,0,0,-24,-1543,0,0,0,0,0,0,0,0,0,0,-1543,-174,0,0,0,0,0,0,0,0,0,0,-174,187097,0,0,0,0,0,0,0,0,0,0,187097,21088,0,0,0,0,0,0,0,0,0,0,21088,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
