0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,report_date,source_url
7,Consumer Services,332396,920,50,0,0,0,0,0,0,0,0,333366,37648,104,6,0,0,0,0,0,0,0,0,37758,-1785,0,0,0,0,0,0,0,0,0,0,-1785,-202,0,0,0,0,0,0,0,0,0,0,-202,-1677,0,0,0,0,0,0,0,0,0,0,-1677,-189,0,0,0,0,0,0,0,0,0,0,-189,318091,920,50,0,0,0,0,0,0,0,0,319061,35852,104,6,0,0,0,0,0,0,0,0,35962,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
8,Diversified,3800,193,0,0,0,0,0,0,0,0,0,3993,430,22,0,0,0,0,0,0,0,0,0,452,-34,0,0,0,0,0,0,0,0,0,0,-34,-4,0,0,0,0,0,0,0,0,0,0,-4,-70,0,0,0,0,0,0,0,0,0,0,-70,-8,0,0,0,0,0,0,0,0,0,0,-8,3850,193,0,0,0,0,0,0,0,0,0,4043,434,22,0,0,0,0,0,0,0,0,0,456,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
9,Fast Moving Consumer Goods,378761,92,285,0,0,0,0,0,0,0,0,379138,42900,10,32,0,0,0,0,0,0,0,0,42942,-2992,0,0,0,0,0,0,0,0,0,0,-2992,-339,0,0,0,0,0,0,0,0,0,0,-339,-1267,0,0,0,0,0,0,0,0,0,0,-1267,-143,0,0,0,0,0,0,0,0,0,0,-143,384785,92,285,0,0,0,0,0,0,0,0,385162,43369,10,32,0,0,0,0,0,0,0,0,43411,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
10,Financial Services,2302829,16270,14329,0,0,0,0,0,0,562,0,2333990,260826,1843,1623,0,0,0,0,0,0,64,0,264356,8276,114,315,0,0,0,0,0,0,-159,0,8546,937,13,36,0,0,0,0,0,0,-18,0,968,5003,157,200,0,0,0,0,0,0,21,0,5381,564,18,23,0,0,0,0,0,0,2,0,607,2322940,16675,14527,0,0,0,0,0,0,588,0,2354730,261816,1879,1637,0,0,0,0,0,0,66,0,265398,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
11,Forest Materials,2954,451,0,0,0,0,0,0,0,0,0,3405,335,51,0,0,0,0,0,0,0,0,0,386,77,0,0,0,0,0,0,0,0,0,0,77,9,0,0,0,0,0,0,0,0,0,0,9,17,0,0,0,0,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,2,3203,451,0,0,0,0,0,0,0,0,0,3654,361,51,0,0,0,0,0,0,0,0,0,412,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
12,Healthcare,485477,435,1355,0,0,0,0,0,0,0,0,487267,54987,49,153,0,0,0,0,0,0,0,0,55189,-2739,0,0,0,0,0,0,0,0,0,0,-2739,-310,0,0,0,0,0,0,0,0,0,0,-310,-365,10,0,0,0,0,0,0,0,0,0,-355,-41,1,0,0,0,0,0,0,0,0,0,-40,485212,445,1300,0,0,0,0,0,0,0,0,486957,54688,50,147,0,0,0,0,0,0,0,0,54885,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
13,Information Technology,508584,0,0,0,0,0,0,0,0,0,0,508584,57604,0,0,0,0,0,0,0,0,0,0,57604,-1927,0,0,0,0,0,0,0,0,0,0,-1927,-218,0,0,0,0,0,0,0,0,0,0,-218,-267,0,0,0,0,0,0,0,0,0,0,-267,-30,0,0,0,0,0,0,0,0,0,0,-30,515320,0,0,0,0,0,0,0,0,0,0,515320,58081,0,0,0,0,0,0,0,0,0,0,58081,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
14,"Media, Entertainment & Publication",12363,0,0,0,0,0,0,0,0,0,0,12363,1400,0,0,0,0,0,0,0,0,0,0,1400,87,0,0,0,0,0,0,0,0,0,0,87,10,0,0,0,0,0,0,0,0,0,0,10,-133,0,0,0,0,0,0,0,0,0,0,-133,-15,0,0,0,0,0,0,0,0,0,0,-15,12311,0,0,0,0,0,0,0,0,0,0,12311,1388,0,0,0,0,0,0,0,0,0,0,1388,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
15,Metals & Mining,225788,246,0,0,0,0,0,0,0,0,0,226034,25574,28,0,0,0,0,0,0,0,0,0,25602,1395,-15,0,0,0,0,0,0,0,0,0,1380,158,-2,0,0,0,0,0,0,0,0,0,156,1752,0,0,0,0,0,0,0,0,0,0,1752,197,0,0,0,0,0,0,0,0,0,0,197,236145,246,0,0,0,0,0,0,0,0,0,236391,26616,28,0,0,0,0,0,0,0,0,0,26644,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
16,"Oil, Gas & Consumable Fuels",499285,264,0,0,74,0,0,0,0,0,0,499623,56551,30,0,0,8,0,0,0,0,0,0,56589,1086,0,0,0,1,0,0,0,0,0,0,1087,123,0,0,0,0,0,0,0,0,0,0,123,8043,0,0,0,0,0,0,0,0,0,0,8043,907,0,0,0,0,0,0,0,0,0,0,907,540121,264,0,0,75,0,0,0,0,0,0,540460,60876,30,0,0,9,0,0,0,0,0,0,60915,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
17,Power,248623,3413,0,0,6518,0,0,0,0,0,0,258554,28160,387,0,0,738,0,0,0,0,0,0,29285,1103,-44,0,0,-11,0,0,0,0,0,0,1048,125,-5,0,0,-1,0,0,0,0,0,0,119,-138,0,0,0,-4,0,0,0,0,0,0,-142,-16,0,0,0,0,0,0,0,0,0,0,-16,249823,3413,0,0,6631,0,0,0,0,0,0,259867,28157,385,0,0,747,0,0,0,0,0,0,29289,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
18,Realty,133726,1688,837,0,26766,0,0,0,0,0,0,163017,15146,191,95,0,3032,0,0,0,0,0,0,18464,-807,-109,0,0,608,0,0,0,0,0,0,-308,-91,-12,0,0,69,0,0,0,0,0,0,-34,1,875,140,0,263,0,0,0,0,0,0,1279,0,99,16,0,30,0,0,0,0,0,0,145,138521,2563,971,0,27197,0,0,0,0,0,0,169252,15613,289,109,0,3065,0,0,0,0,0,0,19076,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
19,Services,175977,3612,1760,0,5060,0,0,0,0,0,0,186409,19932,409,199,0,573,0,0,0,0,0,0,21113,234,59,0,0,-13,0,0,0,0,0,0,280,27,7,0,0,-1,0,0,0,0,0,0,33,-21,-9,0,0,59,0,0,0,0,0,0,29,-2,-1,0,0,7,0,0,0,0,0,0,4,174599,3603,1760,0,5486,0,0,0,0,0,0,185448,19679,406,198,0,618,0,0,0,0,0,0,20901,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
20,Telecommunication,361872,122,8100,0,11975,0,0,0,0,0,0,382069,40987,14,917,0,1356,0,0,0,0,0,0,43274,73,0,0,0,0,0,0,0,0,0,0,73,8,0,0,0,0,0,0,0,0,0,0,8,2087,0,0,0,0,0,0,0,0,0,0,2087,235,0,0,0,0,0,0,0,0,0,0,235,378887,122,8100,0,12096,0,0,0,0,0,0,399205,42704,14,913,0,1363,0,0,0,0,0,0,44994,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
21,Textiles,21465,460,0,0,0,0,0,0,0,0,0,21925,2431,52,0,0,0,0,0,0,0,0,0,2483,-203,0,0,0,0,0,0,0,0,0,0,-203,-23,0,0,0,0,0,0,0,0,0,0,-23,-156,0,0,0,0,0,0,0,0,0,0,-156,-18,0,0,0,0,0,0,0,0,0,0,-18,22032,460,0,0,0,0,0,0,0,0,0,22492,2483,52,0,0,0,0,0,0,0,0,0,2535,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
22,Utilities,2170,72,0,0,0,0,0,0,0,0,0,2242,246,8,0,0,0,0,0,0,0,0,0,254,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14,2,0,0,0,0,0,0,0,0,0,0,2,2194,72,0,0,0,0,0,0,0,0,0,2266,247,8,0,0,0,0,0,0,0,0,0,255,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
23,Sovereign,0,57813,1856,277458,0,0,0,0,0,0,0,337127,0,6548,210,31426,0,0,0,0,0,0,0,38184,0,961,377,4387,0,0,0,0,0,0,0,5725,0,109,43,497,0,0,0,0,0,0,0,649,0,-316,-246,10757,0,0,0,0,0,0,0,10195,0,-36,-28,1212,0,0,0,0,0,0,0,1148,0,58080,1605,287362,0,0,0,0,0,0,0,347047,0,6546,181,32388,0,0,0,0,0,0,0,39115,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
24,Others,50050,100126,139746,0,10010,8268,1607,331,0,2340,32,312510,5669,11341,15828,0,1134,936,182,38,0,265,4,35397,1060,1205,-570,0,0,187,-29,48,0,-7,5,1899,120,137,-65,0,0,21,-3,5,0,-1,1,215,338,625,-642,0,1968,57,-228,0,0,3,-2,2119,38,70,-72,0,222,6,-26,0,0,0,0,238,51291,100712,139419,0,9639,8442,1382,334,0,2376,30,313625,5781,11351,15714,0,1086,951,156,38,0,268,3,35348,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
,Grand Total,7268519,188540,169246,277458,60511,8268,1607,331,0,2902,32,7977414,823257,21355,19169,31426,6854,936,182,38,0,329,4,903550,3631,2149,121,4387,584,187,-29,48,0,-166,5,10917,411,243,14,497,66,21,-3,5,0,-19,1,1236,10979,1359,-548,10757,2284,57,-228,0,0,24,-2,24682,1237,153,-62,1212,257,6,-26,0,0,3,0,2780,7376190,190683,168946,287362,61231,8442,1382,334,0,2964,30,8097564,831363,21492,19042,32388,6901,951,156,38,0,334,3,912668,2025-OCT-31,https://www.fpi.nsdl.co.in/StaticReports/Fortnightly_Sector_wise_FII_Investment_Data/FIIInvestSector_OCT312025.html
